timestamp,L_raw,R_raw,L_norm,R_norm,L_smooth,R_smooth,anomaly
1751358410.838741,0,0,0.00,0.00,0.00,0.00,False
1751358410.9736538,0,0,0.00,0.00,0.00,0.00,False
1751358411.092614,0,0,0.00,0.00,0.00,0.00,False
1751358411.2070835,0,0,0.00,0.00,0.00,0.00,False
1751358411.3188264,0,0,0.00,0.00,0.00,0.00,False
1751358411.4262376,0,0,0.00,0.00,0.00,0.00,False
1751358411.5370224,0,0,0.00,0.00,0.00,0.00,False
1751358411.6437337,0,0,0.00,0.00,0.00,0.00,False
1751358411.751454,0,0,0.00,0.00,0.00,0.00,False
1751358411.855749,0,0,0.00,0.00,0.00,0.00,False
1751358411.957511,0,0,0.00,0.00,0.00,0.00,False
1751358412.0622244,0,0,0.00,0.00,0.00,0.00,False
1751358412.1660094,0,0,0.00,0.00,0.00,0.00,False
1751358412.269298,0,0,0.00,0.00,0.00,0.00,False
1751358412.3734956,0,0,0.00,0.00,0.00,0.00,False
1751358412.4782784,0,0,0.00,0.00,0.00,0.00,False
1751358412.584462,0,0,0.00,0.00,0.00,0.00,False
1751358412.680345,0,0,0.00,0.00,0.00,0.00,False
1751358412.7697904,0,0,0.00,0.00,0.00,0.00,False
1751358412.861608,0,0,0.00,0.00,0.00,0.00,False
1751358412.9606717,0,0,0.00,0.00,0.00,0.00,False
1751358413.062382,0,0,0.00,0.00,0.00,0.00,False
1751358413.198661,0,0,0.00,0.00,0.00,0.00,False
1751358413.3204482,0,0,0.00,0.00,0.00,0.00,False
1751358413.4512775,0,0,0.00,0.00,0.00,0.00,False
1751358413.5782354,0,0,0.00,0.00,0.00,0.00,False
1751358413.6734354,0,0,0.00,0.00,0.00,0.00,False
1751358413.7894068,0,0,0.00,0.00,0.00,0.00,False
1751358413.903251,0,0,0.00,0.00,0.00,0.00,False
1751358414.0141497,0,0,0.00,0.00,0.00,0.00,False
1751358414.1213503,0,0,0.00,0.00,0.00,0.00,False
1751358414.2314377,0,0,0.00,0.00,0.00,0.00,False
1751358414.3377347,0,0,0.00,0.00,0.00,0.00,False
1751358414.446335,0,0,0.00,0.00,0.00,0.00,False
1751358414.5561745,0,0,0.00,0.00,0.00,0.00,False
1751358414.6658683,0,0,0.00,0.00,0.00,0.00,False
1751358414.779509,0,0,0.00,0.00,0.00,0.00,False
1751358414.8943756,0,0,0.00,0.00,0.00,0.00,False
1751358414.9978054,0,0,0.00,0.00,0.00,0.00,False
